id,name,country,currency,sector,employees,price,inventory,monthly_revenue,monthly_cost,cumulative_profit,fiat_debt,productivity,product_quality,reputation,risk,fraud_tendency,truth_score,truth_positive,truth_debt,top_truth_layers
agent_949b1e4dfe,Vertex Transit 1108,Ulmarreich,ULM,mobility,43.94,887797448.7825,43561.6089,0.0,99.6193,591837.666,799.0892,1.042925,0.914438,0.99,0.808599,0.033798,102.3357,179.0959,76.7602,"{liquidity=-76.76, causal=+65.61, legal=+45.62, existence=+15.61, social=+12.59, temporal=+6.65, attention=+2.71, infrastructure=+0.27, ...}"
agent_b126eb866a,Cobalt Luxury 1109,Jorvikmark,JOR,luxury,9.96,184010876.5806,32981.7776,0.0,6784.8413,-1861283.1196,241939.8757,0.892755,0.556596,0.188713,1.0,0.037258,-488287.9029,85.389,488373.2919,"{temporal=-470414.07, legal=-43963.89, liquidity=-29550.58, social=-6904.54, causal=+50.43, existence=+16.01, attention=+0.62, potential=+0.05, ...}"
agent_393a8693ff,Sol Mobility 1110,Eldorland,ELD,mobility,6.67,9094750.014,4798.8074,0.0,45.1405,104452.5167,334.5634,0.843481,0.738593,0.978,0.909904,0.030341,8.2718,49.9074,41.6356,"{liquidity=-41.64, existence=+14.28, causal=+13.64, legal=+10.70, social=+2.47, temporal=+1.00, attention=+0.41, infrastructure=+0.14, ...}"
agent_eaca6bbf95,Sol Security 1111,Selenreich,SEL,security,15.3,97760512.09,8994.293,0.0,105.9993,298526.5469,144.5392,1.073865,0.568722,0.99,0.754522,0.030879,76.1284,78.7993,2.671,"{causal=+24.73, legal=+19.30, existence=+14.21, social=+4.81, liquidity=-2.67, temporal=+2.26, attention=+0.94, risk_reduction=+0.21, ...}"
agent_9c6cbbe977,Civitas Ore 1112,Ulmarreich,ULM,mining,3.0,320223773.8067,13689.1408,0.0,1085.8784,-382880.3059,38412.3067,0.95726,0.635165,0.358489,1.0,0.021206,-5639.6203,32.6928,5672.3131,"{temporal=-5008.23, legal=-676.36, liquidity=-537.30, social=-73.76, existence=+14.37, causal=+12.91, attention=+0.15, potential=+0.06}"
agent_7e2446d754,Omni Atelier 1113,Lumerterra,LUM,luxury,8.7,152542638.5139,27867.3905,0.0,7897.3049,-2326431.4764,280800.2545,0.673788,0.986422,0.606699,1.0,0.049981,-297601.7302,69.7809,297671.5111,"{temporal=-270570.15, legal=-34375.26, liquidity=-21301.13, social=-5706.06, causal=+40.60, existence=+13.75, attention=+0.54, potential=+0.09, ...}"
agent_cb223e31c1,Saffron Arms 1114,Ymirterra,YMI,defense,92.42,446191264.5382,78029.785,0.0,179.1712,328988.6104,2442.3608,0.892745,0.854204,0.965259,0.681409,0.030107,328.9851,417.4048,88.4196,"{causal=+160.39, legal=+116.32, liquidity=-85.15, social=+30.35, existence=+16.84, temporal=+14.19, attention=+5.70, ecological=-3.11, ...}"
agent_8919331fa8,Civitas Logistics 1115,Zerinreich,ZER,logistics,3.7,3389905.1409,19047.5448,0.0,11111.4234,-2285351.9348,397639.5076,0.742875,0.62404,0.076979,1.0,0.046095,-288964.054,50.7995,289014.8535,"{temporal=-274771.73, legal=-27662.11, liquidity=-18344.49, social=-4355.40, causal=+25.19, existence=+15.77, attention=+0.23, potential=+0.06}"
agent_dc4140dc4e,Argent Fields 1116,Cyrenesia,CYR,agriculture,3.0,243834.1209,2284.7735,0.0,955.9056,-231545.1239,33696.891,0.850496,0.739859,0.01,1.0,0.03731,-61016.3297,21.0112,61037.3409,"{temporal=-57785.96, legal=-6006.67, liquidity=-3883.11, social=-920.18, existence=+12.89, causal=+5.40, attention=+0.14, potential=+0.07}"
agent_ff43f5e111,Omni Power 1117,Dravesia,DRA,energy,7.06,59970740.6407,1144.7676,0.0,89.7012,469740.3995,1032.9339,0.69699,0.487786,0.858,0.799456,0.0097,-49.6846,40.193,89.8776,"{liquidity=-83.08, existence=+13.09, causal=+10.01, legal=+6.85, ecological=-6.47, social=+1.96, infrastructure=+1.26, temporal=+1.03, ...}"
