id,category,source,target,name,kind,fiat_value,truth_score
mor_7db6746195,𝓣 Truth,researchcompany_48fb06cd6b,industrialcompany_7cfbe6b7e8,F(purchase/biotech),purchase,6914.113784794478,27.89588997031357
mor_2b61be71ca,𝓣 Truth,platformcompany_77affdcf0d,strategiccompany_19901bf173,F(purchase/insurance),purchase,11506.8242111816,26.118750424118154
mor_6a2f34d56e,𝓣 Truth,researchcompany_82dc0f9edf,country_ad40e6eea8,F(purchase/biotech),purchase,54380.779682298664,36.680310703556174
mor_472d57fd51,𝓣 Truth,industrialcompany_956f5c8acc,country_ad40e6eea8,F(purchase/logistics),purchase,61375.48827266898,27.093404800821787
mor_70bc046211,𝓣 Truth,industrialcompany_f013da2dd3,industrialcompany_0fbee3d505,F(purchase/insurance),purchase,79048.62817404985,31.84275980961616
mor_8c38452110,𝓣 Truth,strategiccompany_c9334d528e,industrialcompany_45e433d2eb,F(purchase/space),purchase,34666.88414284928,38.11942061951558
mor_8bfaccf164,𝓣 Truth,industrialcompany_d32cb19e45,platformcompany_77affdcf0d,F(purchase/finance),purchase,20136.095402926396,25.275110873026374
mor_7d7ed29441,𝓣 Truth,mediacompany_f8e14ee9a7,strategiccompany_2301e228a4,F(purchase/tourism),purchase,45830.9880347605,21.81782190873967
mor_35cc55a901,𝓣 Truth,industrialcompany_eefa11d327,strategiccompany_c9334d528e,F(purchase/energy),purchase,21270.067834192185,36.95079112204415
mor_61de5fd174,𝓣 Truth,mediacompany_cd4596d788,strategiccompany_7e99b98e05,F(purchase/health),purchase,10532.137108351293,32.13476209190926
mor_2662f1f4f4,𝓣 Truth,strategiccompany_6e611815a5,strategiccompany_c9334d528e,F(purchase/defense),purchase,8589.413853227836,35.068397625470475
mor_689015ca03,𝓣 Truth,mediacompany_7eef8ee6fc,mediacompany_2cb705f3f4,F(purchase/media),purchase,15052.254541233942,20.78812970608463
mor_b2277a5f8b,𝓣 Truth,strategiccompany_19901bf173,industrialcompany_0fa3daf942,F(purchase/space),purchase,16812.63755234443,34.47545114242873
mor_4e97dd8193,𝓣 Truth,civiliancompany_1e50c0b917,strategiccompany_c9334d528e,F(purchase/insurance),purchase,37372.234261377256,27.989316741914614
mor_cb2e304dad,𝓣 Truth,civiliancompany_bd4c5d21f6,strategiccompany_15e3635be0,F(purchase/housing),purchase,35504.549219328816,29.966373055067372
mor_157500ba82,𝓣 Truth,strategiccompany_ef233feba5,country_57c0c633fd,F(purchase/defense),purchase,6189.767131421144,34.62017690517483
mor_a4d3aab126,𝓣 Truth,researchcompany_7dcb6f4e02,strategiccompany_2301e228a4,F(purchase/research),purchase,75628.90455771502,36.69928175159706
mor_cf31acb626,𝓣 Truth,industrialcompany_a47144cce2,country_515c19532d,F(purchase/construction),purchase,4909.0270764300285,28.40189554602649
mor_de85a13ecb,𝓣 Truth,platformcompany_8cfcacd280,household_8dc2710d4e,F(purchase/health),purchase,21406.485750774165,31.3093625688097
mor_229b00ac51,𝓣 Truth,industrialcompany_7cfbe6b7e8,platformcompany_77affdcf0d,F(purchase/water),purchase,22567.756287014163,28.922178501792544
