id,category,source,target,name,kind,fiat_value,truth_score
mor_8a04dd3bf8,𝓣 Truth,strategiccompany_d43f04bae5,household_837cb4a957,F(purchase/agriculture),purchase,19229.00790032229,28.650601055228254
mor_240e4ad403,𝓣 Truth,mediacompany_33a293aaad,country_e8d83ed126,F(purchase/health),purchase,6075.216319582498,28.444880653024146
mor_a35bd37eb5,𝓣 Truth,researchcompany_c6901c3cba,mediacompany_c763c96e43,F(purchase/biotech),purchase,4290.983958294585,28.02092610346718
mor_0871056c49,𝓣 Truth,strategiccompany_87df2119fc,industrialcompany_e93e8deaf4,F(purchase/agriculture),purchase,30569.085770805003,29.947637052097402
mor_df7fc5aa95,𝓣 Truth,mediacompany_bd97dff58a,strategiccompany_61649e2941,F(purchase/luxury),purchase,12538.789390333957,21.543127073597585
mor_c9e7ae2d77,𝓣 Truth,industrialcompany_4fd4b950a0,industrialcompany_4871efbfc7,F(purchase/construction),purchase,3825.890800534362,27.083506460757487
mor_86541f0c3b,𝓣 Truth,industrialcompany_5c981af315,country_deb175b52d,F(purchase/water),purchase,106320.72876189054,34.62046076563255
mor_6563fbaf52,𝓣 Truth,industrialcompany_4871efbfc7,researchcompany_a20bd197a4,F(purchase/construction),purchase,5973.335567085764,28.48909676978475
mor_c42dfa26ff,𝓣 Truth,industrialcompany_73cb1e5487,industrialcompany_6c11b11486,F(purchase/housing),purchase,37614.149057622235,29.98851014816775
mor_9af0cc0303,𝓣 Truth,industrialcompany_b372319db2,strategiccompany_5e96fa3c6c,F(purchase/logistics),purchase,12794.559199589386,25.20327655953747
mor_95642ddf96,𝓣 Truth,industrialcompany_273e09678b,industrialcompany_e93e8deaf4,F(purchase/construction),purchase,29996.167332247434,33.58114848589429
mor_d996354cd4,𝓣 Truth,industrialcompany_73cb1e5487,country_bb82d03d82,F(purchase/housing),purchase,26593.274821520386,29.036147286754524
mor_dd0d5ebaa5,𝓣 Truth,mediacompany_6c039e226e,strategiccompany_d43f04bae5,F(purchase/law),purchase,20383.48219577065,32.47316164038397
mor_6c854e41f2,𝓣 Truth,industrialcompany_5c981af315,household_b904702d86,F(purchase/water),purchase,17122.106957431486,29.32412061457784
mor_f10171cdf7,𝓣 Truth,strategiccompany_7d20e7a342,country_01a030c1e7,F(purchase/space),purchase,47578.95048812301,35.74339962170597
mor_ba45fde6bd,𝓣 Truth,industrialcompany_d644cf6a6c,household_1e5a821004,F(purchase/finance),purchase,35586.982486089335,28.050586126549174
mor_f8907ebc39,𝓣 Truth,industrialcompany_6c11b11486,mediacompany_deff1b4854,F(purchase/software),purchase,4670.058321354385,26.96900722380446
mor_6b99d402e7,𝓣 Truth,industrialcompany_db4d818fd8,mediacompany_deff1b4854,F(purchase/insurance),purchase,14227.514230425873,27.807761312380674
mor_7f42879ab6,𝓣 Truth,researchcompany_a20bd197a4,strategiccompany_8a1d7768c9,F(purchase/biotech),purchase,23609.255597630345,33.51839438003913
mor_58f54c9039,𝓣 Truth,strategiccompany_5e96fa3c6c,household_3288b434ed,F(purchase/defense),purchase,26324.92203791434,34.01601727572339
mor_2d6d826828,𝓣 Truth,industrialcompany_17475691f2,platformcompany_45ab5ceb57,F(purchase/construction),purchase,22437.278310261172,32.66495410106122
mor_a44378da6d,𝓣 Truth,country_90e40c8555,mediacompany_5980bc7864,audit,audit,0.0,13.060106915024202
mor_72a0ac1f1e,𝓣 Truth,investmentbank_8062708fc4,strategiccompany_8a1d7768c9,audit,audit,0.0,8.922009222770763
mor_6c8ff758eb,𝓣 Truth,maritimesecurityleague_4126ecd0fb,mediacompany_2d871ff9bc,audit,audit,0.0,8.734545130063339
mor_e98a15dae7,𝓣 Truth,commercialbank_f693cd65ac,industrialcompany_4871efbfc7,audit,audit,0.0,14.061119838310534
mor_eee709d156,𝓣 Truth,maritimesecurityleague_4126ecd0fb,strategiccompany_8a1d7768c9,audit,audit,0.0,13.637697175553468
mor_abe7cc9358,𝓣 Truth,mutualdefensepact_1b5d3e0e69,industrialcompany_4fd4b950a0,audit,audit,0.0,13.081292106091608
mor_e55a069884,𝓣 Truth,developmentbank_2c694cd679,mediacompany_6c039e226e,audit,audit,0.0,8.506761434407416
mor_3b157636bd,𝓣 Truth,unitednations_736563485c,strategiccompany_61649e2941,audit,audit,0.0,12.896391004835664
mor_50e70296fa,𝓣 Truth,unitednations_736563485c,country_deb175b52d,audit,audit,0.0,30.4125
mor_3e8c0f357a,𝓣 Truth,investmentbank_f82a87bfe1,researchcompany_937004117b,audit,audit,0.0,11.906847532192362
mor_33902687b1,𝓣 Truth,country_90e40c8555,researchcompany_8a03681c96,audit,audit,0.0,13.107678209827526
mor_63c41c9637,𝓣 Truth,commercialbank_f693cd65ac,industrialcompany_4fd4b950a0,audit,audit,0.0,9.176050517240204
mor_9ef1a960d5,𝓣 Truth,developmentbank_b0ff8f990b,industrialcompany_546e3f8936,audit,audit,0.0,12.81714407083188
mor_b11d9d6a0c,𝓣 Truth,mediacompany_1b17b48105,country_d0569cdc08,F(purchase/culture),purchase,11347.052786743412,20.407523601137168
mor_27dfffb751,𝓣 Truth,maritimesecurityleague_4126ecd0fb,country_e8d83ed126,F(defense-support),defense,0.0,18.490932846330473
mor_e93f3a0a24,𝓣 Truth,cyberdefensecompact_4d867d91c4,country_bb82d03d82,F(defense-support),defense,0.0,11.669844366765794
mor_fce6178523,𝓣 Truth,mediacompany_6c039e226e,strategiccompany_e4987f002a,F(purchase/law),purchase,32305.8023456485,33.931508328318
mor_8de74d8fcb,𝓣 Truth,civiliancompany_0d45042f15,industrialcompany_db4d818fd8,F(purchase/insurance),purchase,47547.71300166792,31.183627459406807
mor_4887b1955c,𝓣 Truth,strategiccompany_5e96fa3c6c,household_3288b434ed,F(purchase/defense),purchase,21637.116571839557,33.380886347054094
mor_48f6dde643,𝓣 Truth,industrialcompany_6c11b11486,researchcompany_c6901c3cba,F(purchase/software),purchase,6712.4185408972535,28.081713279935208
mor_49cde0a9d4,𝓣 Truth,researchcompany_75e3e7b824,industrialcompany_fd428ea976,F(purchase/food),purchase,12746.381592190211,29.36056012453793
mor_8f2aa1662c,𝓣 Truth,industrialcompany_546e3f8936,strategiccompany_d43f04bae5,F(purchase/semiconductors),purchase,4003.9743743026506,26.07233494415143
