day,price_index,basic_price_index,broad_money,net_money,total_liability,created_today,destroyed_today,liability_today,events_today,tx_volume_today,unemployment,avg_health,avg_stress,avg_trust,avg_reputation,gini_positive_money,food_stock_ratio,water_stock_ratio,energy_stock_ratio,oxygen_stock_ratio,spares_stock_ratio,media_truth_index,media_manipulation_index,station_safety,orbit_debris_risk,appeals_granted_total,events_disputed_total,lambda_food,lambda_media,lambda_space
31,427.67702785184656,590.0638681924869,9171997.54986901,9171997.54986901,0,8904.86743910519,3381.0812001021927,0.0,1889,6443.862878001881,0.3433333333333333,0.6801449949024321,0.5780867832174557,0.8760627036286741,0.6325390397253279,0.18738000925720155,0.0,0.0,0.01327144492187014,1.4420049607585756,0.16911703340951256,0.9348848651362209,0.1359043180682276,0.7085424767124473,0.06465407144218041,268,466,9.266781965500638,8.580652283021667,13.768360562523316
32,433.5104315248068,591.6157898327045,9177434.751260545,9177434.751260545,0,8696.632581803646,3259.4311902673035,0.0,1864,6651.1687826718835,0.3433333333333333,0.673496147356297,0.5905150528545166,0.884073236320207,0.6342768690916479,0.18848688665246138,0.0,0.0,0.005875185164447998,1.4223301125404297,0.14978253049860868,0.8673033508147754,0.06523248405159648,0.7035400824672122,0.06145129106130742,279,484,9.228825226569946,8.477684455625408,13.739171638130767
33,436.3711514937861,592.9109234866444,9182450.704376549,9182450.704376549,0,8428.909779190282,3412.956663186339,0.0,1867,5956.541730775034,0.3433333333333333,0.6656023486983697,0.6028035575180082,0.8916842672453261,0.6358725933224798,0.19089182799801518,0.0,0.0,0.0,1.4028520128044655,0.13636279557803022,0.8936537525324731,0.10055573811344638,0.701796673471571,0.0594675121842511,292,499,9.191023958441916,8.375952242157902,13.710044594257928
34,440.70255634350207,596.4658387889604,9188118.981748633,9188118.981748633,0,8916.557590658604,3248.280218574801,0.0,1911,6189.752289440074,0.3433333333333333,0.6626038027183067,0.6124102551018393,0.9000213718911385,0.6377231138834564,0.19249952845299645,0.0,0.0,0.0,1.3835686940658607,0.12098799045564713,0.8766032046374348,0.08693362162035809,0.6983934599819295,0.0572376788852732,313,533,9.153377524308137,8.275440815252008,13.680979299718102
35,445.91070552745674,602.6279542499427,9193457.47220305,9193457.47220305,0,8253.196172611786,3314.386678201761,0.0,1882,6297.259766016678,0.3433333333333333,0.6547459480663623,0.6244696659934633,0.9075598905922125,0.6392946737213604,0.19377160454919484,0.0,0.0,0.0,1.3644782085146419,0.10893587823848723,0.8907447997172421,0.08913287492835091,0.6932642101413149,0.053056444981827246,325,554,9.115885289968572,8.176135525468984,13.651975623602699
36,451.94273091239006,607.9796641860556,9198066.949801918,9198066.392497774,0.5573041443567774,7993.1875083583955,3383.7099094906907,0.5573041443567774,1860,6142.0439272450585,0.3433333333333333,0.6509697904237322,0.6348439583219101,0.9142110031198518,0.6407337718943796,0.19613421462207548,0.0,0.0,0.0,1.3455786278189354,0.0923674674289482,0.869351103130874,0.0854657843591822,0.6896570030481126,0.05060610430251427,332,570,9.078546623820861,8.078021899163357,13.62303343528066
37,457.8684488610994,608.1274198442794,9202554.081521116,9202553.524216972,0.5573041443567774,7807.642553424558,3320.5108342288745,0.0,1836,6461.140910321384,0.3433333333333333,0.6360117319267016,0.6493133995531039,0.9205493359272698,0.642134150131733,0.19898347302367903,0.0,0.0,0.0,1.326868042930186,0.07668997432017158,0.841606116399411,0.09016932751280783,0.6945469149157624,0.04783168662828051,345,587,9.04136089684969,7.981085636373397,13.594152604397866
38,460.5391602525336,608.3130622933207,9207031.876930093,9207027.147772346,4.7291577477947415,7787.646564686718,3309.851155709992,4.171853603437964,1852,6451.210060785884,0.3433333333333333,0.6186452602328398,0.6652706064495517,0.9268481413097972,0.6435284751129416,0.20098561218230349,0.0,0.0,0.0,1.3083445638903242,0.060289710191911455,0.834997696830007,0.12010838515066108,0.6934615827707545,0.045494331159873294,357,609,9.004327482616194,7.885312608736916,13.565333000876542
39,461.93969840117023,608.5568639225428,9211122.522719767,9211113.808964744,8.713755022270355,7318.4978005794355,3227.852010906989,3.984597274475613,1811,5983.30004845657,0.3433333333333333,0.5976324103597016,0.6826445515242743,0.9325143215216224,0.6447777297498882,0.20316888541562728,0.0,0.0,0.0,1.2900063196408609,0.04407667276847131,0.8205051863993573,0.09265856603971093,0.6906903973918429,0.04287927760834423,377,634,8.967445757247399,7.790688857432073,13.536574494914683
40,463.26400082997395,608.9327976592128,9215364.484506268,9215355.187215779,9.29729048843398,7543.763249786904,3301.8014632865984,0.5835354661636236,1836,6405.521695674782,0.3433333333333333,0.5792389530239973,0.698550157144237,0.9379412243652213,0.6460834674496961,0.20498547885299656,0.0,0.0,0.0,1.2718514578338922,0.028293289283546397,0.8555678692834515,0.088347873661711,0.6965880646293985,0.04027210980149869,385,653,8.930715099425713,7.697200591142888,13.507876956985465
